                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.54757,                0.46128,                 1.0196,                0.89037,                0.80811,                0.88576,                0.52965,                 1.3484,                0.93986,                 1.1991,              0.0010892,              0.0010892,              0.0010892
                     72,                0.59561,                0.47411,                  1.026,                  0.862,                0.88557,                0.88966,                0.52078,                 1.3375,                0.85202,                 1.2026,               0.001076,               0.001076,               0.001076
                     73,                0.53902,                0.45976,                 1.0284,                0.92902,                 0.8465,                0.92762,                0.56414,                 1.3329,                0.83984,                 1.1859,              0.0010628,              0.0010628,              0.0010628
                     74,                0.50989,                0.45426,                 1.0184,                0.95344,                0.83085,                0.92897,                 0.5383,                 1.3897,                0.89757,                 1.2107,              0.0010496,              0.0010496,              0.0010496
                     75,                0.55422,                0.44922,                 1.0036,                0.89549,                0.84577,                0.92538,                0.50301,                 1.4991,                0.91735,                 1.2783,              0.0010364,              0.0010364,              0.0010364
                     76,                0.56684,                0.46284,                  1.021,                0.73638,                0.81992,                0.83093,                 0.4445,                 1.5739,                 1.1488,                 1.3095,              0.0010232,              0.0010232,              0.0010232
                     77,                0.58541,                0.48777,                  1.012,                0.81038,                0.75124,                0.86281,                0.47529,                 1.4954,                 1.1459,                 1.2712,                0.00101,                0.00101,                0.00101
                     78,                0.50285,                 0.4373,                 1.0106,                  0.903,                0.79602,                0.91165,                0.50896,                 1.4405,                 1.0129,                 1.2379,              0.0009968,              0.0009968,              0.0009968
                     79,                0.50408,                0.45382,                 1.0073,                0.92384,                0.84487,                0.92099,                0.51676,                 1.4492,                0.97085,                 1.2611,              0.0009836,              0.0009836,              0.0009836
                     80,                0.54071,                0.42912,                 1.0025,                0.91944,                0.87065,                0.93109,                0.53068,                 1.4402,                0.89005,                 1.2872,              0.0009704,              0.0009704,              0.0009704
                     81,                0.54452,                0.41829,                 1.0186,                0.90825,                0.88557,                0.94046,                0.55183,                  1.386,                0.83498,                 1.2685,              0.0009572,              0.0009572,              0.0009572
                     82,                0.52027,                 0.4073,                 1.0036,                0.93943,                 0.8607,                0.93774,                0.53649,                 1.4039,                0.84682,                 1.2793,               0.000944,               0.000944,               0.000944
                     83,                0.54939,                0.41247,                 1.0243,                0.96792,                0.85572,                0.93127,                0.54009,                 1.3806,                0.85862,                 1.2362,              0.0009308,              0.0009308,              0.0009308
                     84,                0.51334,                0.41192,                0.98175,                0.95094,                0.86793,                0.93475,                0.53183,                 1.4376,                0.88793,                 1.2752,              0.0009176,              0.0009176,              0.0009176
                     85,                0.50302,                0.42977,                 1.0025,                0.90259,                 0.8607,                0.91491,                0.49677,                 1.5314,                0.95685,                  1.318,              0.0009044,              0.0009044,              0.0009044
                     86,                0.46258,                0.39218,                0.99183,                0.93421,                0.85075,                0.92769,                 0.4953,                 1.5142,                0.93494,                 1.3111,              0.0008912,              0.0008912,              0.0008912
