                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.68365,                0.49109,                 1.0545,                0.90475,                 0.9403,                0.96971,                 0.5813,                 1.3833,                0.67089,                 1.1964,              0.0016502,              0.0016502,              0.0016502
                     56,                0.67465,                0.47928,                 1.0495,                0.92433,                0.95522,                0.98429,                0.54374,                 1.4765,                0.74965,                 1.2663,              0.0016436,              0.0016436,              0.0016436
                     57,                0.68247,                0.47915,                 1.0483,                0.91732,                0.96517,                0.94484,                0.57896,                 1.2709,                0.70586,                 1.1481,               0.001637,               0.001637,               0.001637
                     58,                0.68414,                0.49661,                 1.0584,                 0.9548,                0.89055,                0.95989,                0.57559,                 1.3433,                 0.7649,                 1.1717,              0.0016304,              0.0016304,              0.0016304
                     59,                0.71121,                0.50121,                 1.0687,                0.82288,                0.81592,                0.83511,                0.49689,                 1.3348,                0.93221,                 1.1637,              0.0016238,              0.0016238,              0.0016238
                     60,                0.66238,                0.47087,                 1.0376,                0.97382,                0.93035,                0.98391,                 0.6303,                  1.259,                0.58904,                  1.141,              0.0016172,              0.0016172,              0.0016172
                     61,                0.67276,                0.45769,                 1.0405,                0.95715,                0.95025,                0.98721,                0.58046,                 1.3401,                 0.6668,                  1.179,              0.0016106,              0.0016106,              0.0016106
                     62,                0.68101,                0.49138,                 1.0528,                0.95978,                0.94974,                0.98857,                0.60737,                  1.378,                0.65299,                 1.1915,               0.001604,               0.001604,               0.001604
                     63,                0.69906,                  0.497,                 1.0514,                0.96996,                0.96381,                 0.9897,                0.63223,                 1.2519,                 0.6081,                 1.1664,              0.0015974,              0.0015974,              0.0015974
                     64,                0.64549,                0.45764,                 1.0316,                 0.7625,                0.87562,                0.80155,                0.48067,                 1.3413,                0.86892,                 1.1982,              0.0015908,              0.0015908,              0.0015908
